title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
celib_은평,듀플렉스,공용,1인실,17.54694493,10000000,830000,불광동,celib,"우편함, 편의점, 홈짐, 키친&다이닝, 런드리룸, 미팅룸, 홈시네마, 플레이룸, 응접실, 셀립라운지, 루프탑 테라스가든",https://celib.kr/property/eunpyeong,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
celib_은평,맨션,공용,1인실,32.90562979,10000000,1860000,불광동,celib,"우편함, 편의점, 홈짐, 키친&다이닝, 런드리룸, 미팅룸, 홈시네마, 플레이룸, 응접실, 셀립라운지, 루프탑 테라스가든",https://celib.kr/property/eunpyeong,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
celib_순라,골목뷰 룸,공용,1인실,26.40933206,4000000,1500000,권농동,celib,"라운지, 키친, 리빙 라운지, 홈짐, 런드리룸, 가든, 루프탑",https://celib.kr/property/soonra,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
celib_순라,케이브 룸,공용,1인실,26.40933206,4000000,1500000,권농동,celib,"라운지, 키친, 리빙 라운지, 홈짐, 런드리룸, 가든, 루프탑",https://celib.kr/property/soonra,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
celib_순라,궁궐뷰 룸,공용,1인실,27.90046651,4000000,1600000,권농동,celib,"라운지, 키친, 리빙 라운지, 홈짐, 런드리룸, 가든, 루프탑",https://celib.kr/property/soonra,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
upflo_당산,일체형(싱글),공용,1인실,16.74309867,1760000,880000,당산동,upflo,"침대(침구 포함), 수납 가구, 테이블, 의자, 개인 욕실, 바닥난방, 천장형 냉난방기, 2중 보안, wifi",https://www.upflo.kr/dangsan,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
upflo_당산,분리형(싱글),공용,1인실,16.74309867,1760000,880000,당산동,upflo,"침대(침구 포함), 수납 가구, 테이블, 의자, 개인 욕실, 바닥난방, 천장형 냉난방기, 2중 보안, wifi",https://www.upflo.kr/dangsan,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
upflo_당산,트윈(1인),공용,2인실,18.27184025,1960000,980000,당산동,upflo,"침대 2개(침구 포함), 수납 가구, 테이블, 의자, 개인 욕실, 바닥난방, 천장형 냉난방기, 2중 보안, wifi",https://www.upflo.kr/dangsan,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
upflo_당산,트윈(2인),공용,2인실,23.16381329,2600000,1300000,당산동,upflo,"침대 2개(침구 포함), 수납 가구, 테이블, 의자, 개인 욕실, 바닥난방, 천장형 냉난방기, 2중 보안, wifi",https://www.upflo.kr/dangsan,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
upflo_당산,분리형(싱글),공용,1인실,16.74309867,1760000,880000,당산동,upflo,"침대(침구 포함), 수납 가구, 테이블, 의자, 개인 욕실, 바닥난방, 천장형 냉난방기, 2중 보안, wifi",https://www.upflo.kr/dangsan,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
