,roomType,deposit_mean,deposit_var,deposit_median,deposit_min,deposit_max,rentFee_mean,rentFee_var,rentFee_median,rentFee_min,rentFee_max,name
0,0,1784968.2437026913,2034653045899.2808,1569565.271768934,-1164596.2344507615,7323851.128990132,-147032.89466009376,27856630129.2113,-147082.3790009725,-682000.0,615441.6745564835,코리빙-일반사업자
1,1,-1576013.6278724156,207908587734447.06,1325900.6692810562,-116663956.23951924,19134969.412523817,129820.7105629796,60325218517.73345,121794.64830769924,-719805.7365930397,1812465.8651872426,코리빙-일반사업자
2,0,-2872987.2344347667,96220699550544.4,525508.0879303194,-30727222.45264759,2036326.5588275958,-75730.22950366385,401138529845.48737,-209764.10203235177,-608589.7967648279,2015781.8332642051,코리빙-브랜드
3,1,4788312.0573912775,9692059153086.834,4036326.558827596,1406885.1099128993,9827699.433153601,126217.04917277285,117585145246.7722,23822.06553297385,-327335.6491082541,530909.3737038573,코리빙-브랜드
