describe,col_0,col_1,type
rentFee_mean,522247.191,480507.9365,코리빙-일반사업자
rentFee_median,530000.0,450000.0,코리빙-일반사업자
rentFee_min,330000.0,100000.0,코리빙-일반사업자
rentFee_max,1000000.0,1400000.0,코리빙-일반사업자
rentFee_mean,919333.3333,884444.4444,코리빙-브랜드
rentFee_median,960000.0,570000.0,코리빙-브랜드
rentFee_min,450000.0,390000.0,코리빙-브랜드
rentFee_max,1300000.0,2200000.0,코리빙-브랜드
