,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
0,65daa6126a079dcae275c4e4,매물번호 42074288,매물번호 42074288,0,0,19.83,10000000,560000,신림동,0,벽걸이형 책상 옷장 신발장 냉장고 세탁기 싱크대 인덕션 전자레인지 화재경보기 비디오폰 CCTV 현관보안,https://www.dabangapp.com/room/65cb0d5768ba5a6bc1e0fd09,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
1,65daa6156a079dcae275c4e5,매물번호 42051547,매물번호 42051547,0,1,26.32,20000000,750000,수유동,0,벽걸이형 침대 신발장 냉장고 세탁기 싱크대 가스레인지 TV ,https://www.dabangapp.com/room/65caca7b9d7b5a03c7c8bd12,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
2,65daa6196a079dcae275c4e6,매물번호 41995067,매물번호 41995067,0,1,26.32,20000000,750000,수유동,0,벽걸이형 신발장 싱크대 가스레인지 무인택배함 인터폰 CCTV 현관보안,https://www.dabangapp.com/room/65c32d1484f7442786ab5977,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
3,65daa61d6a079dcae275c4e7,매물번호 39924505,매물번호 39924505,0,1,49.04,290000000,300000,공항동,0,천장형 식탁 신발장 싱크대 인덕션 화재경보기 베란다 무인택배함 비디오폰 인터폰 카드키 CCTV 현관보안 방범창,https://www.dabangapp.com/room/6541e1a60c623c1698eac638,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
4,65daa6216a079dcae275c4e8,매물번호 39874814,매물번호 39874814,0,1,96.86,150000000,700000,공항동,0,신발장 싱크대 가스레인지 화재경보기 베란다 비디오폰 인터폰 카드키 CCTV 사설경비 현관보안 방범창,https://www.dabangapp.com/room/653f1464abed0a4e2c64c340,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
5,65daa6256a079dcae275c4e9,매물번호 40548634,매물번호 40548634,0,0,20.46,20000000,800000,공항동,0,천장형 신발장 냉장고 세탁기 싱크대 인덕션 화재경보기 비디오폰 인터폰 카드키 CCTV 현관보안,https://www.dabangapp.com/room/656990099d452e05fb3fb2aa,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
6,65daa6286a079dcae275c4ea,매물번호 40548634,매물번호 40548634,0,0,20.46,20000000,800000,공항동,0,천장형 신발장 냉장고 세탁기 싱크대 인덕션 화재경보기 비디오폰 인터폰 카드키 CCTV 현관보안,https://www.dabangapp.com/room/65cc2ae356e35f13e2758bb1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
7,65daa62c6a079dcae275c4eb,매물번호 42115143,매물번호 42115143,0,1,44.14,3000000,800000,서정동,0,벽걸이형 책상 옷장 신발장 냉장고 세탁기 싱크대 가스레인지 TV 비디오폰,https://www.dabangapp.com/room/65cc80ee1f651f4c57557510,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
8,65daa6306a079dcae275c4ec,매물번호 39945626,매물번호 39945626,0,1,49.04,290000000,300000,공항동,0,천장형 신발장 싱크대 가스레인지 인덕션 화재경보기 베란다 비디오폰 CCTV 현관보안,https://www.dabangapp.com/room/6543332b31a80215971068c5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
9,65daa6336a079dcae275c4ed,매물번호 42200711,매물번호 42200711,0,0,16.52,20000000,450000,하월곡동,0,벽걸이형 침대 책상 옷장 신발장 냉장고 세탁기 싱크대 인덕션 전자레인지 비디오폰 CCTV 현관보안,https://www.dabangapp.com/room/65d1d88b0ebd5433a66d1dd4,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
10,65daa6376a079dcae275c4ee,매물번호 41403654,매물번호 41403654,0,0,15.0,1000000,250000,신림동,0,벽걸이형 침대 책상 옷장 신발장 냉장고 세탁기 싱크대 인덕션 전자레인지 인터폰 CCTV 현관보안 방범창,https://www.dabangapp.com/room/659f833d55518310f67634b8,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
