,Unnamed: 0,_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl,station,station_region
26,26,65d83d9e586d871d4e26c4ef,211호점,Room E,2,0,0.0,1000000,520000,홍대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 wifi 정수기 밥솥 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/211,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,홍대입구,동교동
27,27,65d83da0586d871d4e26c4f0,211호점,Room F,2,0,0.0,1000000,520000,홍대입구역,0,WIFI 에어컨 세탁기 냉장고 의자 테이블 청소기 wifi 정수기 밥솥 식탁 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/211,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,홍대입구,동교동
28,28,65d83dac586d871d4e26c4f1,201호점,Room A,2,0,7.0,1000000,490000,응암역,0,WIFI 에어컨 세탁기 냉장고 청소기 wifi 정수기 전자렌지 가스렌지 식탁 서랍장 책상 의자 침대 옷장,https://www.woozoo.kr/houses/201,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,응암,신사동
29,29,65d83dae586d871d4e26c4f2,201호점,Room B,2,0,7.0,1000000,490000,응암역,0,WIFI 에어컨 세탁기 냉장고 청소기 wifi 정수기 전자렌지 가스렌지 식탁 서랍장 책상 의자 침대 옷장,https://www.woozoo.kr/houses/201,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,응암,신사동
30,30,65d83db0586d871d4e26c4f3,201호점,Room C,2,0,7.0,1000000,490000,응암역,0,WIFI 에어컨 세탁기 냉장고 청소기 wifi 정수기 전자렌지 가스렌지 식탁 서랍장 책상 의자 침대 옷장,https://www.woozoo.kr/houses/201,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,응암,신사동
31,31,65d83db2586d871d4e26c4f4,201호점,Room D,2,0,9.0,1000000,510000,응암역,0,WIFI 에어컨 세탁기 냉장고 청소기 wifi 정수기 전자렌지 가스렌지 식탁 서랍장 책상 의자 침대 옷장,https://www.woozoo.kr/houses/201,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,응암,신사동
32,32,65d83dbd586d871d4e26c4f5,64호점,Room A,2,0,12.0,1000000,560000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/64,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
33,33,65d83dbf586d871d4e26c4f6,64호점,Room B,2,1,13.0,1000000,440000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/64,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
34,34,65d83dc1586d871d4e26c4f7,64호점,Room C,2,1,15.0,1000000,480000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/64,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
35,35,65d83dc3586d871d4e26c4f8,64호점,Room D,2,1,11.0,1000000,420000,숙대입구역,0,WIFI 에어컨 세탁기 냉장고 정수기 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/64,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,숙대입구,갈월동
36,36,65d83dd1586d871d4e26c4f9,150호점,Room A,1,0,6.0,500000,500000,서울역,0,WIFI 에어컨 세탁기 냉장고 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/150,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,서울,남대문로5가
37,37,65d83dd3586d871d4e26c4fa,150호점,Room B,1,0,11.0,500000,580000,서울역,0,WIFI 에어컨 세탁기 냉장고 전자렌지 밥솥 가스렌지 식탁 빨래건조대 책상 의자 수납함 침대 옷장,https://www.woozoo.kr/houses/150,https://dgdr.co.kr/upload/jijum/238342658_Gf6XysaH_20210923034736.jpg,서울,남대문로5가
